Country,Institution,Description,Demand
Australia,Deakin University,University-wide,
Australia,Queensland Uni. of Technology,University-wide,
Australia,Macquarie University,University-wide,
Australia,Uni. of Western Australia,University-wide,
Australia,University of Queensland,University-wide,High demand
Australia,University of Melbourne,University-wide,High demand
Australia,University of Sydney,University-wide,Ultra-high demand
Australia,University of New South Wales,University-wide,
Australia,University of Adelaide,University-wide,
Australia,Monash University,University-wide,
Austria,Paris Lodron Universität Salzburg,University-wide,
Belgium,Université Libre de Bruxelles,University-wide,
Canada,University of Ottawa,University-wide,
Canada,Dalhousie University,University-wide,
Canada,University of Calgary,University-wide,
Canada,University of British Columbia,University-wide,Ultra-high demand
Canada,U of British Columbia Okanagan,University-wide,
Canada,University of Toronto,University-wide,High demand
Canada,Simon Fraser University,University-wide,
Canada,Queen's University,University-wide,
Canada,McGill University,University-wide,
Chile,Pontificia Univ.Catolica Chile,University-wide,
China,Univ.of Nottingham Ningbo Campus,University-wide,
Denmark,Aarhus Universitet,University-wide,
Finland,University of Helsinki,University-wide,
France,Université Aix-Marseille,University-wide,
Germany,Eberhard Karls Universitat Tubingen,University-wide,
Germany,Johannes-Gutenberg-Universitat Mainz,Computing Science,
Greece,National and Kapodistrian University of Athens,University-wide,
Hong Kong,University of Hong Kong,University-wide,High demand
Hong Kong,Chinese Univ of Hong Kong,University-wide,
Hong Kong,HKUST - Hong Kong University of Science and Technology,University-wide,
Italy,Sapienza University of Rome,University-wide,
Japan,Keio University,University-wide,
Japan,Waseda University,University-wide,
Japan,Kyoto University,University-wide,
Japan,Hitotsubashi University,University-wide,
Japan,University of Tokyo,University-wide,
"Korea, Republic of",Yonsei University,University-wide,
"Korea, Republic of",Korea University,University-wide,
"Korea, Republic of",Seoul National University,University-wide,
Malaysia,Uni of Nottingham Malaysia,University-wide,
Mexico,Tecnologico de Monterrey,University-wide,
Netherlands,Radboud Universiteit Nijmegen,Computing Science,
Netherlands,Universiteit van Amsterdam,University-wide,
New Zealand,University of Auckland,University-wide,High demand
New Zealand,University of Otago,University-wide,High demand
Portugal,Universidade de Lisboa,Computing Science,
Romania,University of Bucharest,University-wide,
Singapore,Singapore Management University,University-wide,
Singapore,National Univ.of Singapore,University-wide,
Singapore,Nanyang Technological Univ.,University-wide,High demand
Spain,Universidad Autonoma de Madrid,University-wide,
Sweden,Stockholms Universitet,University-wide,High demand 
Switzerland,Universite de Lausanne,University-wide,
Taiwan,National Taiwan Normal Uni,University-wide,
United States,University of Vermont,University-wide,
United States,Bentley University,University-wide,
United States,State Univ. of New York Albany,University-wide,
United States,University of California,University-wide,Ultra-high demand
United States,Uni of Wisconsin Madison,University-wide,
United States,University of Virginia,University-wide,
United States,University of Texas at Austin,University-wide,High demand
United States,U.of North Carolina-Chapel Hill,University-wide,
United States,University of Florida,University-wide,
United States,University of Alabama,University-wide,
United States,Radford University,University-wide,
United States,Miami University OH,University-wide,
United States,Uni of Massachusetts Amherst,University-wide,
United States,University of Oklahoma,University-wide,
United States,"University of Miami, Florida",University-wide,
United States,American University,University-wide,
United States,University of Alaska Fairbanks,University-wide,
United States,Boston College,University-wide,
United States,University of Minnesota,University-wide,
United States,University of Denver,University-wide,
